method,K,pi_0,dependence,rho,alpha,mean_fdr,sd_fdr,mean_power,sd_power,mean_k,mean_ap,n_reps
AICE,200,0.5,independent,0.0,0.01,0.01602506618762735,0.030767862964233113,0.3682522569967778,0.2959894950510597,38.1,0.9706720052955429,200
AICE,200,0.5,independent,0.0,0.05,0.02478666845777301,0.03515004966847709,0.48903784716827403,0.31019797342385813,51.03,0.9706720052955429,200
AICE,200,0.5,independent,0.0,0.1,0.02944332274885292,0.03712950647176342,0.5605347369522741,0.30752741705325415,58.77,0.9706720052955429,200
AICE,200,0.5,independent,0.0,0.2,0.03892441305864091,0.04226246423544052,0.6411142483740357,0.2989415485297897,67.885,0.9706720052955429,200
AICE,200,0.5,prds_ar1,0.5,0.01,0.018212979047075382,0.03278893640161655,0.37662572045096426,0.29943550707473526,39.435,0.9692782672674457,200
AICE,200,0.5,prds_ar1,0.5,0.05,0.02868637495483822,0.03877626513623297,0.4960373171186319,0.3169510480093984,52.355,0.9692782672674457,200
AICE,200,0.5,prds_ar1,0.5,0.1,0.03627968211619304,0.044330066817274666,0.5635396542557658,0.31175067878612234,59.92,0.9692782672674457,200
AICE,200,0.5,prds_ar1,0.5,0.2,0.045491140461358937,0.04930796421463804,0.6422547539014132,0.3001009860259318,68.88,0.9692782672674457,200
AICE,200,0.5,prds_block,0.3,0.01,0.018100484581046735,0.034116227398483245,0.36861344666881457,0.29583034119683255,38.185,0.9688962072732018,200
AICE,200,0.5,prds_block,0.3,0.05,0.025474012439014374,0.03717725819035217,0.49585838451247405,0.30432109166782123,51.74,0.9688962072732018,200
AICE,200,0.5,prds_block,0.3,0.1,0.031546128785656095,0.04166772651522472,0.5696473727165902,0.29993468743139257,59.85,0.9688962072732018,200
AICE,200,0.5,prds_block,0.3,0.2,0.0406283159840617,0.047203867828511034,0.6540373809529224,0.2865844156010995,69.37,0.9688962072732018,200
AICE,200,0.7,independent,0.0,0.01,0.016529211089330347,0.03900493547398659,0.279115522090935,0.2609422459586679,17.56,0.9477957792680779,200
AICE,200,0.7,independent,0.0,0.05,0.027911570382862627,0.04931776092237496,0.3949746752248629,0.29689815178850815,25.185,0.9477957792680779,200
AICE,200,0.7,independent,0.0,0.1,0.03682083248549418,0.054950001817170725,0.46070128098057805,0.3032496226537644,29.67,0.9477957792680779,200
AICE,200,0.7,independent,0.0,0.2,0.0528125402537816,0.06072376513315714,0.5482925165781973,0.2985199536437394,35.95,0.9477957792680779,200
AICE,200,0.7,prds_ar1,0.5,0.01,0.02216930675903374,0.08135262722344913,0.2704269771605679,0.26510397190433826,16.96,0.9456631871455368,200
AICE,200,0.7,prds_ar1,0.5,0.05,0.02985442991753242,0.05400538975098386,0.39090895566204986,0.2961209540394671,24.845,0.9456631871455368,200
AICE,200,0.7,prds_ar1,0.5,0.1,0.03636757232515984,0.058455290593457,0.46198838454613456,0.3029593433177888,29.7,0.9456631871455368,200
AICE,200,0.7,prds_ar1,0.5,0.2,0.048591627122020524,0.062126084830024464,0.5476959340903911,0.29787554606984556,35.735,0.9456631871455368,200
AICE,200,0.7,prds_block,0.3,0.01,0.021078541084032617,0.08172857745292886,0.2883232249690036,0.26393678438184504,17.555,0.9440512710090266,200
AICE,200,0.7,prds_block,0.3,0.05,0.026999686973692535,0.06321662386247211,0.4148026029113578,0.2882973859073557,25.58,0.9440512710090266,200
AICE,200,0.7,prds_block,0.3,0.1,0.03792764719332335,0.061933107154339556,0.4867023605683704,0.2897954904622229,30.46,0.9440512710090266,200
AICE,200,0.7,prds_block,0.3,0.2,0.055125526440995165,0.06758644859961835,0.5790664600551513,0.28018335840326075,36.92,0.9440512710090266,200
AICE,200,0.9,independent,0.0,0.01,0.02451057880887602,0.07712436635997073,0.15893419568550501,0.2206109096207045,3.565,0.7994782172348599,200
AICE,200,0.9,independent,0.0,0.05,0.04868073519692345,0.10387589011852486,0.23609923450117656,0.27495871209018546,5.51,0.7994782172348599,200
AICE,200,0.9,independent,0.0,0.1,0.06111712794434551,0.12156588544043817,0.26671867418383977,0.29237373412569895,6.4,0.7994782172348599,200
AICE,200,0.9,independent,0.0,0.2,0.08298436788412572,0.14337204159023406,0.317526389940567,0.316559401679466,7.91,0.7994782172348599,200
AICE,200,0.9,prds_ar1,0.5,0.01,0.027864457008419857,0.11120499150974333,0.13302969293642872,0.17773871141837821,3.085,0.8176445590583746,200
AICE,200,0.9,prds_ar1,0.5,0.05,0.04058230136158635,0.11586509067306268,0.21356296385811746,0.23997268611062308,5.045,0.8176445590583746,200
AICE,200,0.9,prds_ar1,0.5,0.1,0.05286293226682159,0.12428435510656975,0.2600565303524875,0.2693609068387517,6.25,0.8176445590583746,200
AICE,200,0.9,prds_ar1,0.5,0.2,0.06820896611639662,0.1198830861240649,0.31343777190356487,0.30023450737039764,7.755,0.8176445590583746,200
AICE,200,0.9,prds_block,0.3,0.01,0.02909178952955033,0.10164121707540306,0.15529538123920372,0.22752252193389322,3.525,0.8035198111483832,200
AICE,200,0.9,prds_block,0.3,0.05,0.04029993893723871,0.09655723055495669,0.23370057420523271,0.27390621237315727,5.44,0.8035198111483832,200
AICE,200,0.9,prds_block,0.3,0.1,0.05232732891216665,0.10660999166408597,0.27715737080787123,0.29673358537770544,6.655,0.8035198111483832,200
AICE,200,0.9,prds_block,0.3,0.2,0.07586170181534437,0.130095655279435,0.33780353124234347,0.32553328978292134,8.44,0.8035198111483832,200
AICE,200,0.95,independent,0.0,0.01,0.028817460317460318,0.1156657281426765,0.08264073426573428,0.18217095663367067,0.94,0.6499567527873223,200
AICE,200,0.95,independent,0.0,0.05,0.04253128978864273,0.14648482792820716,0.13431698366992484,0.24567009244480414,1.675,0.6499567527873223,200
AICE,200,0.95,independent,0.0,0.1,0.05887005538321327,0.1679172086110239,0.15707553761597878,0.2583164359641593,2.135,0.6499567527873223,200
AICE,200,0.95,independent,0.0,0.2,0.07179188203101247,0.17796537936771017,0.19910472370766488,0.28292820607502056,2.795,0.6499567527873223,200
AICE,200,0.95,prds_ar1,0.5,0.01,0.035220238095238096,0.14799070139595305,0.0822991047694995,0.16228924146595175,1.015,0.5998941202791559,200
AICE,200,0.95,prds_ar1,0.5,0.05,0.0571971916971917,0.17417168251694523,0.11845662524609893,0.21120321856678131,1.595,0.5998941202791559,200
AICE,200,0.95,prds_ar1,0.5,0.1,0.0658865578865579,0.17513180579863258,0.1387161296306033,0.23979065653104178,1.97,0.5998941202791559,200
AICE,200,0.95,prds_ar1,0.5,0.2,0.08755491036741037,0.19577675908852712,0.1685747193552921,0.26580187269637456,2.535,0.5998941202791559,200
AICE,200,0.95,prds_block,0.3,0.01,0.02240313852813853,0.11065378386215768,0.08242444142115195,0.17282966844754377,0.93,0.6196690676897432,200
AICE,200,0.95,prds_block,0.3,0.05,0.04332431457431457,0.15472213626486767,0.13117756591963248,0.22861933093931733,1.63,0.6196690676897432,200
AICE,200,0.95,prds_block,0.3,0.1,0.06653812853812853,0.1999471615163662,0.15618226005590558,0.2600578276633228,2.05,0.6196690676897432,200
AICE,200,0.95,prds_block,0.3,0.2,0.08261946805718175,0.2091909017023882,0.19239115043023713,0.282229633308574,2.68,0.6196690676897432,200
AICE,500,0.5,independent,0.0,0.01,0.0017712981748420641,0.005369269141981972,0.2661287008481272,0.20651851093402745,66.715,0.9846101876717739,200
AICE,500,0.5,independent,0.0,0.05,0.004547257371961782,0.00851969344385122,0.4426098087765517,0.24112285306279194,111.35,0.9846101876717739,200
AICE,500,0.5,independent,0.0,0.1,0.007828150842532678,0.011148254479523096,0.5404958666396961,0.2419978687724445,136.525,0.9846101876717739,200
AICE,500,0.5,independent,0.0,0.2,0.013173024331623534,0.015158124277627033,0.6566380598261423,0.21842180327337213,166.955,0.9846101876717739,200
AICE,500,0.5,prds_ar1,0.5,0.01,0.0024938535929971486,0.006079218699795633,0.2772772338834967,0.22738087084335112,69.73,0.983234621863284,200
AICE,500,0.5,prds_ar1,0.5,0.05,0.00576233161776029,0.009547866278107638,0.43971628702156246,0.2505084493090836,110.875,0.983234621863284,200
