d,n,kappa_emp_90,theory_scale,C_1
20,8,32.431638759452724,6.0386042507488895,5.370717704414998
20,16,14.419406020347111,4.269938014606451,3.3769590966008693
20,32,9.388215177289055,3.0193021253744448,3.1093990556260604
50,8,66.30955605220005,9.547871660370514,6.944956783135776
50,16,29.481840829487957,6.751364796946851,4.36679719081695
50,32,18.301349421153844,4.773935830185257,3.8335977005463104
100,8,106.81877778615294,13.502729593893703,7.9109025359183125
100,16,52.244476062539164,9.547871660370514,5.471845236398137
100,32,34.015436031673524,6.751364796946851,5.038305150842422
200,8,189.2924906336415,19.09574332074103,9.912810800511735
200,16,97.10314756678514,13.502729593893703,7.191371706850872
200,32,63.222107933062134,9.547871660370514,6.621591720327831
384,8,351.82469107891836,26.459838111853994,13.296554937019856
384,16,180.4788176282953,18.709930957990213,9.646150914908668
384,32,117.50650286469687,13.229919055926997,8.881876175353772
