calibration,AP,k_rejected,precision_astro,recall_astro
Beta-mixture EM (ours),0.857284341319716,5755,0.8681146828844483,0.8227931488801054
Gaussian-mixture EM (logit-space),0.857284341319716,5755,0.8681146828844483,0.8227931488801054
KDE (median-split),0.8571381217513513,7467,0.7955002008838891,0.9782608695652174
Threshold MOM (50/50),0.857284341319716,5788,0.8635107118175536,0.8231225296442688
Threshold MOM (30/70),0.857284341319716,9061,0.669683257918552,0.9993412384716732
Threshold MOM (70/30),0.8434034874542028,5755,0.8681146828844483,0.8227931488801054
"Beta-EM, N=500 subsample (20 trials)",0.8644156452520532,184,0.8751203874008586,
"Beta-EM, N=1000 subsample (20 trials)",0.8556122632559227,363,0.8666089336286136,
"Beta-EM, N=2000 subsample (20 trials)",0.8550342969640129,723,0.8659839026484312,
"Beta-EM, N=5000 subsample (20 trials)",0.8555539330800738,1830,0.8665415490460842,
