cluster_id,n_members,n_matched_buzzfeed,frac_matched_buzzfeed,n_astroturf,frac_astroturf,n_advocacy,frac_advocacy,top_label
72705,2,2,1.0,2,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
47178,2,2,1.0,2,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
48465,2,2,1.0,2,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
48462,2,2,1.0,2,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
48458,2,2,1.0,2,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
48457,2,2,1.0,2,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
48455,2,2,1.0,2,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
47210,2,2,1.0,2,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
47209,2,2,1.0,2,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
47198,2,2,1.0,2,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
47181,2,2,1.0,2,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
47179,2,2,1.0,2,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
47177,2,2,1.0,2,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
48468,2,2,1.0,2,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
47162,2,2,1.0,2,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
47161,2,2,1.0,2,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
47156,2,2,1.0,2,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
47155,2,2,1.0,2,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
47141,2,2,1.0,2,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
47140,2,2,1.0,2,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
47139,2,2,1.0,2,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
47138,2,2,1.0,2,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11174,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11177,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
48466,2,2,1.0,2,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
48469,2,2,1.0,2,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
48520,2,2,1.0,2,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
48492,2,2,1.0,2,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
48516,2,2,1.0,2,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
48513,2,2,1.0,2,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
48511,2,2,1.0,2,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
48510,2,2,1.0,2,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
48509,2,2,1.0,2,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
48507,2,2,1.0,2,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
48505,2,2,1.0,2,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
48501,2,2,1.0,2,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
48495,2,2,1.0,2,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
48493,2,2,1.0,2,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
48490,2,2,1.0,2,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
48470,2,2,1.0,2,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
48489,2,2,1.0,2,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
48488,2,2,1.0,2,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
48481,2,2,1.0,2,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
48479,2,2,1.0,2,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
48478,2,2,1.0,2,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
48477,2,2,1.0,2,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
48475,2,2,1.0,2,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
48473,2,2,1.0,2,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
48472,2,2,1.0,2,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
48471,2,2,1.0,2,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
39861,2,2,1.0,2,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
39850,2,2,1.0,2,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11313,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
31200,3,3,1.0,3,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11366,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11393,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11394,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11425,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11469,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11476,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11477,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
34586,3,3,1.0,3,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
31204,3,3,1.0,3,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
31201,3,3,1.0,3,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
31198,3,3,1.0,3,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11314,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
31195,3,3,1.0,3,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
31193,3,3,1.0,3,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
31192,3,3,1.0,3,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
31191,3,3,1.0,3,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
31190,3,3,1.0,3,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
31189,3,3,1.0,3,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
31188,3,3,1.0,3,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
31187,3,3,1.0,3,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
31186,3,3,1.0,3,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
31185,3,3,1.0,3,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11365,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11361,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11357,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11339,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11315,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11317,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11319,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11320,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11321,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11322,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11324,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11325,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11326,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11327,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11328,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11329,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
11330,5,5,1.0,5,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
