cluster_id,n_members,n_matched_buzzfeed,frac_matched_buzzfeed,n_astroturf,frac_astroturf,n_advocacy,frac_advocacy,top_label
12454,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14569,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14579,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14578,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14577,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14576,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14575,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14574,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14573,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14572,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14571,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14570,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14568,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
24417,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14567,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14566,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14565,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14564,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14563,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14562,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14561,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14560,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14559,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14558,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14580,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14581,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
4436,12,12,1.0,12,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
4437,12,12,1.0,12,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14599,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14598,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14597,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14596,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14595,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14594,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14593,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14592,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14591,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14590,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14589,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14588,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14587,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14586,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14585,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14584,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
4442,12,12,1.0,12,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
4441,12,12,1.0,12,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14583,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14582,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
4438,12,12,1.0,12,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14557,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14556,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
23703,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
24260,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
24274,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
24285,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
24299,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14551,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14550,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14549,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14548,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14547,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14546,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14545,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14544,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14543,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14542,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14541,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14540,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14539,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14538,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
24341,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
24346,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14537,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14536,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
24271,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
24247,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
14555,8,8,1.0,8,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
24230,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
23805,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
23818,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
23844,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
23857,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
23879,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
23888,7,7,1.0,7,1.0,0,0.0,astroturf:Media Bridge LLC (NY AG)
