tau,flagged,astro,precision,recall,f1
0.9,15748,6072,0.3855727711455423,1.0,0.5565536205316224
0.905,15748,6072,0.3855727711455423,1.0,0.5565536205316224
0.91,15739,6071,0.38572971599212147,0.9998353096179183,0.556691577644308
0.915,15662,6061,0.3869876133316307,0.9981884057971014,0.557743627496089
0.92,15443,5995,0.38820177426665803,0.9873188405797102,0.5572856146874273
0.925,14967,5796,0.3872519542994588,0.9545454545454546,0.5509767574504492
0.93,14131,5296,0.3747788549996462,0.8722002635046113,0.5242785724892343
0.935,12876,4426,0.3437402920161541,0.7289196310935442,0.4671733164450074
0.9400000000000001,11119,3126,0.28114039032287075,0.5148221343873518,0.36367866907102553
0.9450000000000001,9321,1797,0.19279047312520114,0.2959486166007905,0.2334827519002144
0.9500000000000001,7730,682,0.08822768434670117,0.11231884057971014,0.0988262570641936
0.9550000000000001,6674,119,0.017830386574767754,0.019598155467720684,0.01867252471363565
0.9600000000000001,6050,6,0.0009917355371900827,0.0009881422924901185,0.0009899356541824783
0.9650000000000001,5503,0,0.0,0.0,0.0
0.9700000000000001,4874,0,0.0,0.0,0.0
0.9750000000000001,4012,0,0.0,0.0,0.0
0.9800000000000001,2940,0,0.0,0.0,0.0
0.9850000000000001,2331,0,0.0,0.0,0.0
0.9900000000000001,1990,0,0.0,0.0,0.0
0.9950000000000001,1725,0,0.0,0.0,0.0
1.0,10,0,0.0,0.0,0.0
