gamma,method,rej,astro,astro_pct,astro_recall_pct
0.85,baseline,21844,6419,29.38564365500824,100.0
0.85,mixture-LR,63866,6419,10.05073121848871,100.0
0.85,split-LRT,16607,6171,37.15902932498344,100.0
0.88,baseline,22147,6421,28.992640086693456,100.0
0.88,mixture-LR,66331,6421,9.680240008442508,100.0
0.88,split-LRT,16425,6165,37.534246575342465,100.0
0.9,baseline,21606,6305,29.18170878459687,100.0
0.9,mixture-LR,65673,6305,9.600596896746,100.0
0.9,split-LRT,15744,6072,38.56707317073171,100.0
0.93,baseline,19324,4295,22.226247153798386,100.0
0.93,mixture-LR,50931,4295,8.432977950560563,100.0
0.93,split-LRT,12472,3957,31.727068633739577,100.0
0.96,baseline,14672,87,0.5929661941112323,100.0
0.96,mixture-LR,14753,87,0.5897105673422355,100.0
0.96,split-LRT,6888,2,0.029036004645760744,100.0
