K,pi0,alpha,dep,rho,fdr_mean,fdr_se,fdr_lo,fdr_hi,power_mean,power_se
15000,0.7,0.05,positive,0.1,4.490640414422224e-05,3.3613288497472024e-05,0.0,0.0,0.596041235517591,0.0015609299321607435
15000,0.7,0.1,positive,0.1,8.978377054843324e-05,3.988712702915725e-05,0.0,0.0010453289433302857,0.6268239687823137,0.0017606756219933346
15000,0.7,0.15,positive,0.1,0.00011727147440761167,8.208511101223578e-05,0.0,0.0,0.6419714495131059,0.0016430636738878179
15000,0.7,0.2,positive,0.1,0.00034641043984956537,0.00014807039885905265,0.0,0.006664051966214883,0.6530550048957583,0.0017966298741030327
15000,0.7,0.05,positive,0.3,0.0006374055877504388,0.00031093889618663334,0.0,0.004243986396130171,0.8176799725115871,0.006798881094139358
15000,0.7,0.1,positive,0.3,0.0016381827721709686,0.0006264353594994168,0.0,0.03353011651257242,0.8439935316361646,0.006609866563786376
15000,0.7,0.15,positive,0.3,0.0013755199927723805,0.0004931621426970395,0.0,0.026994120032165878,0.8395053638515839,0.0065944893644901735
15000,0.7,0.2,positive,0.3,0.002267121904347287,0.0007703228001415179,0.0,0.03655027650502341,0.8558474152042563,0.006513346676678653
15000,0.7,0.05,positive,0.5,0.0014830879388591052,0.0006331750322774037,0.0,0.02920443023175791,0.950257230773246,0.006040835225452514
15000,0.7,0.1,positive,0.5,0.0025656243063391392,0.0010430799341804178,0.0,0.031646469027248866,0.9602373722515134,0.00557334265138201
15000,0.7,0.15,positive,0.5,0.0023206513183309852,0.0010931413204425184,0.0,0.0013721413721416841,0.9551386169457016,0.005645330416933371
15000,0.7,0.2,positive,0.5,0.004138385603192189,0.0013843634076189887,0.0,0.08867086687150959,0.9595166782401003,0.005447797271259024
15000,0.7,0.05,positive,0.7,0.002888088767355059,0.001238490650992476,0.0,0.04326687836300085,0.9827844481762272,0.005822458150609457
15000,0.7,0.1,positive,0.7,0.0016490707723650353,0.0011632803739805293,0.0,0.0,0.9773391734216144,0.007729595594633553
15000,0.7,0.15,positive,0.7,0.005080575124628788,0.002062903497417011,0.0,0.13659437359184723,0.9814269079397162,0.005993693151985108
15000,0.7,0.2,positive,0.7,0.0070409979473365185,0.002654060398382894,0.0,0.17979157192285972,0.9677115884620895,0.010210164770311485
