scenario,pi0,alpha,rep,k_hat,fdr,tdp
S1_correct,0.5,0.05,0,1457,0.004118050789293068,0.5820296831127156
S1_correct,0.5,0.1,0,1759,0.007959067652075043,0.6999598876855194
S1_correct,0.5,0.15,0,1909,0.009429020429544265,0.7585238668271159
S1_correct,0.5,0.2,0,1992,0.012550200803212851,0.7890092258323306
S1_correct,0.5,0.05,1,1378,0.001451378809869376,0.5462485113140135
S1_correct,0.5,0.1,1,1684,0.004750593824228029,0.66534339023422
S1_correct,0.5,0.15,1,1875,0.0096,0.7371973005160778
S1_correct,0.5,0.2,1,1983,0.012607160867372668,0.777292576419214
S1_correct,0.5,0.05,2,1590,0.0012578616352201257,0.6403225806451613
S1_correct,0.5,0.1,2,1826,0.0032858707557502738,0.7338709677419355
S1_correct,0.5,0.15,2,1934,0.00672182006204757,0.7745967741935483
S1_correct,0.5,0.2,2,2004,0.0074850299401197605,0.802016129032258
S1_correct,0.5,0.05,3,1471,0.004078857919782461,0.5808881839809675
S1_correct,0.5,0.1,3,1781,0.009545199326221224,0.6994448850118953
S1_correct,0.5,0.15,3,1934,0.010858324715615306,0.7585249801744647
S1_correct,0.5,0.2,3,2041,0.014208721215090642,0.7977795400475813
S1_correct,0.5,0.05,4,1452,0.006887052341597796,0.5939044481054365
S1_correct,0.5,0.1,4,1703,0.009395184967704051,0.6948105436573312
S1_correct,0.5,0.15,4,1822,0.010428100987925357,0.7425864909390445
S1_correct,0.5,0.2,4,1926,0.013499480789200415,0.7825370675453048
S1_correct,0.5,0.05,5,1447,0.002073255010366275,0.5712025316455697
S1_correct,0.5,0.1,5,1750,0.004571428571428572,0.6890822784810127
S1_correct,0.5,0.15,5,1920,0.010416666666666666,0.7515822784810127
S1_correct,0.5,0.2,5,2031,0.014771048744460856,0.7915348101265823
S1_correct,0.5,0.05,6,1489,0.0047011417058428475,0.6007296311309283
S1_correct,0.5,0.1,6,1744,0.005733944954128441,0.7028779894608836
S1_correct,0.5,0.15,6,1857,0.010770059235325794,0.7446291041751115
S1_correct,0.5,0.2,6,1958,0.013789581205311542,0.782732063234698
S1_correct,0.5,0.05,7,1475,0.005423728813559322,0.595131845841785
S1_correct,0.5,0.1,7,1771,0.00846979107848673,0.7123732251521299
S1_correct,0.5,0.15,7,1886,0.011134676564156946,0.7565922920892495
S1_correct,0.5,0.2,7,1988,0.014587525150905433,0.7947261663286004
S1_correct,0.5,0.05,8,1486,0.004710632570659489,0.5852789869410367
S1_correct,0.5,0.1,8,1778,0.007874015748031496,0.6980609418282548
S1_correct,0.5,0.15,8,1921,0.008328995314940135,0.7538583300356153
S1_correct,0.5,0.2,8,2022,0.011869436201780416,0.7906608626830234
S1_correct,0.5,0.05,9,1467,0.0034083162917518746,0.5820063694267515
S1_correct,0.5,0.1,9,1753,0.005704506560182544,0.6938694267515924
S1_correct,0.5,0.15,9,1893,0.008980454305335447,0.7468152866242038
S1_correct,0.5,0.2,9,1990,0.012060301507537688,0.7826433121019108
S1_correct,0.5,0.05,10,1353,0.004434589800443459,0.5353736089030207
S1_correct,0.5,0.1,10,1677,0.007751937984496124,0.6613672496025437
S1_correct,0.5,0.15,10,1861,0.008060182697474477,0.733704292527822
S1_correct,0.5,0.2,10,1962,0.010193679918450561,0.7718600953895072
S1_correct,0.5,0.05,11,1506,0.0026560424966799467,0.6056451612903225
S1_correct,0.5,0.1,11,1790,0.005027932960893855,0.7181451612903226
S1_correct,0.5,0.15,11,1933,0.007759958613554061,0.7733870967741936
S1_correct,0.5,0.2,11,2028,0.010355029585798817,0.8092741935483871
S1_correct,0.5,0.05,12,1611,0.00186219739292365,0.6406374501992032
S1_correct,0.5,0.1,12,1867,0.0048205677557579,0.7402390438247012
S1_correct,0.5,0.15,12,1997,0.007511266900350526,0.7896414342629482
S1_correct,0.5,0.2,12,2067,0.009192065795839382,0.8159362549800797
S1_correct,0.5,0.05,13,1331,0.004507888805409466,0.527258257063271
S1_correct,0.5,0.1,13,1665,0.009009009009009009,0.6565857540787903
S1_correct,0.5,0.15,13,1815,0.009917355371900827,0.7150815758058098
S1_correct,0.5,0.2,13,1934,0.012409513960703205,0.7600477516912058
S1_correct,0.5,0.05,14,1522,0.0032851511169513796,0.6068
S1_correct,0.5,0.1,14,1800,0.009444444444444445,0.7132
S1_correct,0.5,0.15,14,1943,0.011837364899639732,0.768
S1_correct,0.5,0.2,14,2051,0.014139444173573866,0.8088
S1_correct,0.5,0.05,15,1536,0.004557291666666667,0.601494885916601
S1_correct,0.5,0.1,15,1823,0.006034009873834339,0.7128245476003147
