cluster_id,size,row_ids_sample
0,1309650,"[1, 3, 4, 11, 12]"
381,246,"[15473, 19242, 21618, 25260, 33411]"
59,49,"[18077, 36050, 37134, 49308, 52343]"
17,46,"[43367, 53604, 58587, 68287, 101321]"
8,37,"[21917, 35013, 44919, 57005, 57168]"
230,36,"[20148, 26114, 41605, 51318, 76194]"
565,36,"[44545, 159617, 315504, 479493, 639270]"
24,35,"[42703, 43737, 67346, 93157, 100815]"
214,32,"[132446, 148558, 477130, 480456, 572117]"
198,31,"[24374, 32308, 32310, 68208, 70455]"
99,27,"[42448, 81895, 111444, 164076, 246255]"
25,24,"[38618, 118902, 174387, 207166, 218584]"
196,23,"[492915, 623784, 1212765, 1545964, 1781004]"
797,22,"[81809, 617364, 1166057, 1268932, 1292576]"
9,21,"[23173, 24926, 93985, 214285, 225462]"
6,21,"[24122, 34763, 161639, 220876, 288443]"
50,20,"[28729, 51103, 82061, 181042, 194762]"
21,19,"[22482, 31843, 46734, 59292, 88094]"
20,19,"[17563, 19141, 158981, 351020, 598414]"
385,19,"[16981, 20838, 127299, 136894, 138078]"
