cluster_id,size,row_ids_sample
3,165279,"[12, 110, 119, 144, 189]"
1,162380,"[6920, 7298, 9013, 9642, 9860]"
2,157245,"[3, 4, 11, 20, 29]"
0,149726,"[81377, 101872, 403394, 449425, 655229]"
5,117829,"[19, 25, 26, 229, 284]"
4,109494,"[37648, 50301, 52399, 69742, 86339]"
7,73772,"[24, 50, 203, 312, 365]"
6,55443,"[87366, 89255, 128550, 193098, 214521]"
8,53118,"[23471, 24979, 31745, 37891, 43345]"
9,52385,"[19862, 113828, 206573, 207809, 250769]"
10,33745,"[35306, 36885, 59255, 136712, 662451]"
12,23955,"[246584, 590175, 2350082, 2909627, 2909826]"
13,23078,"[291, 583, 729, 934, 1544]"
11,22023,"[2458, 32054, 33606, 36503, 50719]"
15,17764,"[1, 341, 440, 632, 636]"
16,17392,"[279, 564, 654, 731, 798]"
17,17122,"[260, 264, 296, 554, 567]"
18,10883,"[11775, 17253, 24913, 26570, 36016]"
21,2450,"[1636, 23524, 24750, 47764, 48281]"
22,2409,"[1911, 2397, 7532, 14629, 21117]"
