cluster_id,log_e_full,log_e_para_multi,log_e_oracle,log_e_stacked_full,log_e_stacked_para,y_astro
0,164.89726090463446,-1.8039117550517885,-7.238675981441338,164.20411372407452,-2.49270615929612,0
1,164.89726090463446,-1.7900123753196515,-7.246543869721485,164.20411372407452,-2.47890030453971,0
2,-2.098539530925371,-1.794925451878624,-7.334079438216767,-2.786376884333092,-2.4841504839893283,0
3,164.89726090463446,-1.786055034814588,-7.238675981441338,164.20411372407452,-2.47492631104801,0
4,-1.9669848377323187,-1.794925451878624,-7.352401648496917,-2.6555595582293923,-2.4842215551446256,0
5,-2.098539530925371,-1.794925451878624,-7.246543869721485,-2.785892540233222,-2.483792448410879,0
6,164.89726090463446,-1.7957240995449388,-7.238675981441338,164.20411372407452,-2.4845539208109932,0
7,164.89726090463446,-1.7958530587538446,-7.151802775719046,164.20411372407452,-2.484291358795622,0
8,164.89726090463446,-1.8008832606586769,-7.151802775719046,164.20411372407452,-2.489297870508638,0
9,164.89726090463446,-1.7957240995449388,-7.151802775719046,164.20411372407452,-2.4841630053738437,0
10,-1.9669848377323187,-1.794925451878624,-7.352401648496917,-2.6555595582293923,-2.4842215551446256,0
11,164.89726090463446,-1.794925451878624,-7.238675981441338,164.20411372407452,-2.48375871239343,0
12,-1.2048202521988058,-1.7933557944760814,-7.352401648496917,-1.895831068349112,-2.4826579262749404,0
13,164.89726090463446,-1.7841589845349288,-7.334079438216767,164.20411372407452,-2.473425936439748,0
14,-1.7407650361357856,-1.798838760646178,-7.238675981441338,-2.4298252618335487,-2.48765514295959,0
15,164.89726090463446,-1.7844895381425747,-7.246543869721485,164.20411372407452,-2.4734008760638355,0
16,164.89726090463446,-1.799115053408315,-7.334079438216767,164.20411372407452,-2.488323651194794,0
17,164.89726090463446,-1.7823771462877729,-7.246543869721485,164.20411372407452,-2.4712974036604156,0
18,-2.002020041724927,-1.802411592843958,-7.352401648496917,-2.6904321112202614,-2.4916788142877038,0
19,-1.7654316016930895,-1.800289556132988,-7.334079438216767,-2.454770407018636,-2.4894935344394167,0
20,-1.2820276370240344,-1.800289556132988,-7.151802775719046,-1.9723552880354416,-2.4887069682653884,0
21,-1.2737996931463442,-1.7729223015839977,-7.151802775719046,-1.9641504156359857,-2.4614671059493114,0
22,-1.2732373924039122,-1.7710709671417912,-7.238675981441338,-1.9638219403368589,-2.460005702434359,0
23,-1.274686775483588,-1.775847818557572,-7.334079438216767,-1.9655008607414457,-2.465146824329281,0
24,164.89726090463446,-1.7932890923789453,-7.352401648496917,164.20411372407452,-2.482591480149672,0
25,-1.2798712657975493,-1.7930663384403465,-7.246543869721485,-1.9704589700659256,-2.4819412679700994,0
26,-1.2760672559268262,-1.7804124194430018,-7.246543869721485,-1.9666646655947888,-2.469340955936573,0
27,164.89726090463446,-1.7792666840556095,-7.334079438216767,164.20411372407452,-2.468552536331068,0
28,164.89726090463446,-1.8133224122921368,-7.238675981441338,164.20411372407452,-2.502075750986977,0
29,-1.312145143090747,-1.7770081453090505,-7.246543869721485,-2.002649006558751,-2.4659509887095727,0
30,-1.3192033113826789,-1.7996538507445514,-7.352401648496917,-2.009955549420128,-2.4889317367292363,0
31,-1.3192891771836557,-1.7999315334873918,-7.151802775719046,-2.009509942767784,-2.4883506346847404,0
32,164.89726090463446,-1.7947013610437828,-7.238675981441338,164.20411372407452,-2.4835355860787645,0
33,-1.312803266816056,-1.779104850121146,-7.238675981441338,-2.003284527124615,-2.468005678855034,0
34,-1.3172079457039736,-1.7932159518811908,-7.238675981441338,-2.0076774533328208,-2.4820565648990445,0
35,-1.3172079457039736,-1.7932159518811908,-7.246543869721485,-2.0076984104515585,-2.482090243540694,0
36,-1.3172079457039736,-1.7932159518811908,-7.151802775719046,-2.0074347866262134,-2.481666624308781,0
37,-1.3193078672000669,-1.7999919824802246,-7.246543869721485,-2.009792754618829,-2.4888372849967686,0
38,-1.3168203259212294,-1.7919686347891075,-7.334079438216767,-2.007534131360048,-2.4812052242343547,0
39,-1.3180786086240732,-1.7960215646890094,-7.246543869721485,-2.00856676233437,-2.4848838771270767,0
40,-1.3186276989138743,-1.79779374246708,-7.238675981441338,-2.0090934073040696,-2.486614638408808,0
41,164.89726090463446,-1.8042846543453357,-7.352401648496917,164.20411372407452,-2.4935446156965817,0
42,164.89726090463446,-1.798767901610643,-7.151802775719046,164.20411372407452,-2.4871924883888243,0
43,-1.353464041412853,-1.7906917683571075,-7.334079438216767,-2.044087139611163,-2.479933338186301,0
44,-1.3539562590524443,-1.7922168637428808,-7.238675981441338,-2.0443256754304913,-2.4810617680149467,0
45,-1.3564832885377167,-1.8000715774133806,-7.238675981441338,-2.046845686324239,-2.488882628919589,0
46,-1.3583496656438006,-1.8058998129591823,-7.151802775719046,-2.048454039401295,-2.4942906784842336,0
47,-1.349964966208554,-1.7798952839588194,-7.238675981441338,-2.040345432068434,-2.4687927620303642,0
48,-1.357612431478178,-1.8035948524195748,-7.352401648496917,-2.04827100905413,-2.492857489058011,0
49,-1.3479866574812909,-1.7738258045145725,-7.151802775719046,-2.0381223538597744,-2.4623664583076477,0
50,164.89726090463446,-1.793688766232203,-7.238675981441338,164.20411372407452,-2.482527346943014,0
51,-1.3559360024370193,-1.7983669047768225,-7.238675981441338,-2.0462999217610713,-2.4871853257052416,0
52,164.89726090463446,-1.8000715774133806,-7.238675981441338,164.20411372407452,-2.488882628919589,0
53,164.89726090463446,-1.7812414634708138,-7.151802775719046,164.20411372407452,-2.4697479092945875,0
54,-1.8091149404040965,-1.7941102651185448,-7.238675981441338,-2.4978866869274943,-2.4829470332857406,0
55,-1.3494034932597416,-1.7781701514313668,-7.246543869721485,-2.0398071509115643,-2.467108116800352,0
56,-1.3518303187130885,-1.7856410688847193,-7.334079438216767,-2.0424575320083025,-2.4749022768672657,0
57,-1.3559360024370193,-1.7983669047768225,-7.334079438216767,-2.0465528613809303,-2.4875784423179197,0
58,-1.350996096726122,-1.783068685483308,-7.334079438216767,-2.041625408713599,-2.4723398575083846,0
59,-2.173602233476024,-1.7874688292435876,-7.151802775719046,-2.8598865740081716,-2.4759463529247063,0
60,-0.3569967706410395,-1.794036952024182,-7.352401648496917,-1.049228288731256,-2.483336468880785,0
61,-1.35449484470298,-1.7938874338207198,-7.334079438216767,-2.045115343013367,-2.4831165271188165,0
62,-1.3523706839608995,-1.7873097139910774,-7.246543869721485,-2.0427662001742215,-2.476209114602259,0
63,-1.3533978517711738,-1.7904868053520226,-7.238675981441338,-2.043768816689432,-2.479339130431381,0
64,164.89726090463446,-1.814093127584627,-7.352401648496917,164.20411372407452,-2.5033148487549646,0
65,-2.148529672647348,-1.8001726338969983,-7.246543869721485,-2.8355865711504653,-2.4890171608726175,0
66,-1.3866620701925298,-1.7800119084785542,-7.352401648496917,-2.0772473883473017,-2.4693649107978604,0
67,164.89726090463446,-1.7887676495625526,-7.246543869721485,164.20411372407452,-2.4776608658308894,0
68,-2.144537080255194,-1.7945409377013006,-7.246543869721485,-2.831618172839086,-2.48340957619352,0
69,-1.3893012903105266,-1.7878545831811072,-7.238675981441338,-2.0795709144622303,-2.4767181742620306,0
70,-1.8296729260126443,-1.7899358873983142,-7.151802775719046,-2.5179496425768644,-2.478401903497521,0
71,-1.3902664152147093,-1.790732765466939,-7.334079438216767,-2.0807950144823493,-2.4799741754863915,0
72,-1.391540552529638,-1.7945409377013006,-7.246543869721485,-2.0818263047875303,-2.48340957619352,0
73,164.89726090463446,-1.7435285269510206,-7.334079438216767,164.20411372407452,-2.4329496869925356,0
74,164.89726090463446,-1.797429171709925,-7.334079438216767,164.20411372407452,-2.486644390861058,0
