cluster_id,n,kappa_hat,log_e_lrt,log_e_mixlr,T_obs,T_obs_coh,p_coh,frac_astroturf,frac_advocacy,y,log_e_coh,score_supervised
0,60,3840.0,1499.30685281944,559.1332825738729,0.9988246560096741,0.9988246560096741,1.2619537766027257e-268,0.0,0.0,0,616.8601437860536,0.0011803860570432823
1,57,3840.0,1400.0,538.9819924135156,0.9990977644920349,0.9990977644920349,3.7589613433134056e-269,0.0,0.8771929824561403,0,618.0712473346379,0.0011803860570432823
2,57,3840.0,1400.0,1165.6975423794013,1.0000078678131104,1.0000078678131104,1e-300,0.0,0.0,0,690.7755278982137,0.0011803860570432823
3,57,3840.0,1400.0,616.8144227885298,0.9996120929718018,0.9996120929718018,1e-300,0.0,0.0,0,690.7755278982137,0.0011803860570432823
4,57,3840.0,1400.0,1165.6975423794013,1.0000419616699219,1.0000419616699219,1e-300,0.0,0.0175438596491228,0,690.7755278982137,0.0011803860570432823
5,57,3840.0,1400.0,1035.5050335226638,0.9999958872795105,0.9999958872795105,1e-300,0.0,0.0,0,690.7755278982137,0.0011803860570432823
6,57,3840.0,1400.0,797.4142834135193,0.9999454021453857,0.9999454021453857,1e-300,0.0,0.0,0,690.7755278982137,0.0011803860570432823
7,57,3840.0,1400.0,779.3116538677747,0.9999335408210754,0.9999335408210754,1e-300,0.0,0.0,0,690.7755278982137,0.0011803860570432823
8,57,3840.0,1400.0,1165.6975423794013,1.0000289678573608,1.0000289678573608,1e-300,0.0,0.9824561403508772,0,690.7755278982137,0.0011803860570432823
9,57,3840.0,1400.0,558.1060057275981,0.9992666840553284,0.9992666840553284,1.3089692814149521e-279,0.0,0.8421052631578947,0,642.1520009259018,0.0011803860570432823
10,57,3840.0,1400.0,1165.6975423794013,1.0000317096710205,1.0000317096710205,1e-300,0.0,0.0,0,690.7755278982137,0.0011803860570432823
11,57,3840.0,1400.0,616.6305205538181,0.9996113181114197,0.9996113181114197,1e-300,0.0,0.0,0,690.7755278982137,0.0011803860570432823
12,57,3840.0,1400.0,557.3370304470504,0.9992605447769165,0.9992605447769165,3.448132537546314e-279,0.0,0.0,0,641.1834081543125,0.0011803860570432823
13,57,3840.0,1400.0,574.1361671701694,0.9993836879730225,0.9993836879730225,2.216494315697002e-288,0.0,0.0,0,662.3485799716256,0.0011803860570432823
14,56,3840.0,1400.0,1165.6975423794013,1.0000190734863281,1.0000190734863281,1e-300,0.0,0.0,0,690.7755278982137,0.0011803860570432823
15,56,3840.0,1400.0,1165.6975423794013,1.0000355243682861,1.0000355243682861,1e-300,0.0,0.0,0,690.7755278982137,0.0011803860570432823
16,55,3840.0,1350.0,452.74206752035474,0.9977058172225952,0.9977058172225952,4.0477742577958095e-222,0.0,0.0,0,509.7757234806028,0.0011803860570432823
