n,kappa,power
8,50,0.0
8,62,0.0
8,78,0.0
8,90,0.0
8,98,0.0
8,120,0.0
8,123,0.0
8,150,0.0
8,155,0.0
8,175,0.0
8,194,0.0
8,225,0.0
8,244,0.09
8,275,0.25
8,306,0.74
8,350,0.94
8,384,0.98
8,425,1.0
8,482,1.0
8,600,1.0
8,605,1.0
8,759,1.0
8,800,1.0
8,953,1.0
8,1195,1.0
8,1500,1.0
12,50,0.0
12,62,0.0
12,78,0.0
12,90,0.0
12,98,0.0
12,120,0.0
12,123,0.0
12,150,0.0
12,155,0.01
12,175,0.18
12,194,0.6
12,225,0.93
12,244,0.98
12,275,1.0
12,306,1.0
12,350,1.0
12,384,1.0
12,425,1.0
12,482,1.0
12,600,1.0
12,605,1.0
12,759,1.0
12,800,1.0
12,953,1.0
12,1195,1.0
12,1500,1.0
16,50,0.0
16,62,0.0
16,78,0.0
16,90,0.0
16,98,0.0
16,120,0.0
16,123,0.04
16,150,0.48
16,155,0.68
16,175,0.96
16,194,0.99
16,225,1.0
16,244,1.0
16,275,1.0
16,306,1.0
16,350,1.0
16,384,1.0
16,425,1.0
16,482,1.0
16,600,1.0
16,605,1.0
16,759,1.0
16,800,1.0
16,953,1.0
16,1195,1.0
16,1500,1.0
24,50,0.0
24,62,0.0
24,78,0.02
24,90,0.03
24,98,0.19
24,120,0.92
24,123,0.92
24,150,1.0
24,155,1.0
24,175,1.0
24,194,1.0
24,225,1.0
24,244,1.0
24,275,1.0
24,306,1.0
24,350,1.0
24,384,1.0
24,425,1.0
24,482,1.0
24,600,1.0
24,605,1.0
24,759,1.0
24,800,1.0
24,953,1.0
24,1195,1.0
24,1500,1.0
32,50,0.0
32,62,0.02
32,78,0.33
32,90,0.81
32,98,0.96
32,120,1.0
32,123,1.0
32,150,1.0
32,155,1.0
32,175,1.0
32,194,1.0
32,225,1.0
32,244,1.0
32,275,1.0
32,306,1.0
32,350,1.0
32,384,1.0
32,425,1.0
32,482,1.0
32,600,1.0
32,605,1.0
32,759,1.0
32,800,1.0
32,953,1.0
32,1195,1.0
32,1500,1.0
