n,kappa,power,theory_threshold_C1.4,theory_threshold_C2.4
8,50,0.0,268.79999999999995,460.79999999999995
8,100,0.0,268.79999999999995,460.79999999999995
8,200,0.0,268.79999999999995,460.79999999999995
8,500,1.0,268.79999999999995,460.79999999999995
8,1000,1.0,268.79999999999995,460.79999999999995
8,2000,1.0,268.79999999999995,460.79999999999995
8,3000,1.0,268.79999999999995,460.79999999999995
8,5000,1.0,268.79999999999995,460.79999999999995
12,50,0.0,219.47428095337273,376.24162449149617
12,100,0.0,219.47428095337273,376.24162449149617
12,200,0.7666666666666667,219.47428095337273,376.24162449149617
12,500,1.0,219.47428095337273,376.24162449149617
12,1000,1.0,219.47428095337273,376.24162449149617
12,2000,1.0,219.47428095337273,376.24162449149617
12,3000,1.0,219.47428095337273,376.24162449149617
12,5000,1.0,219.47428095337273,376.24162449149617
16,50,0.0,190.07030278294394,325.834804770761
16,100,0.0,190.07030278294394,325.834804770761
16,200,1.0,190.07030278294394,325.834804770761
16,500,1.0,190.07030278294394,325.834804770761
16,1000,1.0,190.07030278294394,325.834804770761
16,2000,1.0,190.07030278294394,325.834804770761
16,3000,1.0,190.07030278294394,325.834804770761
16,5000,1.0,190.07030278294394,325.834804770761
24,50,0.0,155.19175235817139,266.0430040425795
24,100,0.23333333333333334,155.19175235817139,266.0430040425795
24,200,1.0,155.19175235817139,266.0430040425795
24,500,1.0,155.19175235817139,266.0430040425795
24,1000,1.0,155.19175235817139,266.0430040425795
24,2000,1.0,155.19175235817139,266.0430040425795
24,3000,1.0,155.19175235817139,266.0430040425795
24,5000,1.0,155.19175235817139,266.0430040425795
32,50,0.0,134.39999999999998,230.39999999999998
32,100,0.9833333333333333,134.39999999999998,230.39999999999998
32,200,1.0,134.39999999999998,230.39999999999998
32,500,1.0,134.39999999999998,230.39999999999998
32,1000,1.0,134.39999999999998,230.39999999999998
32,2000,1.0,134.39999999999998,230.39999999999998
32,3000,1.0,134.39999999999998,230.39999999999998
32,5000,1.0,134.39999999999998,230.39999999999998
