cluster_id,n,log_e_para_multi,log_e_verb,log_e_full
0,60,-1.8039117550517885,165.5904080851944,164.89726090463446
1,57,-1.7900123753196517,165.5904080851944,164.89726090463446
2,57,-1.794925451878624,-2.5366509740763012,-2.098539530925371
3,57,-1.786055034814588,165.5904080851944,164.89726090463446
4,57,-1.794925451878624,-2.174929931173444,-1.9669848377323187
5,57,-1.794925451878624,-2.5366509740763012,-2.098539530925371
6,57,-1.7957240995449388,165.5904080851944,164.89726090463446
7,57,-1.7958530587538446,165.5904080851944,164.89726090463446
8,57,-1.8008832606586769,165.5904080851944,164.89726090463446
9,57,-1.7957240995449388,165.5904080851944,164.89726090463446
10,57,-1.794925451878624,-2.174929931173444,-1.9669848377323187
11,57,-1.794925451878624,165.5904080851944,164.89726090463446
12,57,-1.7933557944760814,-0.8368075915779476,-1.2048202521988058
13,57,-1.7841589845349288,165.5904080851944,164.89726090463446
14,56,-1.798838760646178,-1.685879562234786,-1.7407650361357856
15,56,-1.7844895381425747,165.5904080851944,164.89726090463446
16,55,-1.7991150534083147,165.5904080851944,164.89726090463446
17,55,-1.7823771462877729,165.5904080851944,164.89726090463446
18,55,-1.8024115928439581,-2.2516675018029653,-2.0020200417249274
19,55,-1.8002895561329881,-1.7317479068427923,-1.7654316016930895
20,55,-1.8002895561329881,-0.9423852672286812,-1.2820276370240344
21,55,-1.7729223015839977,-0.9423852672286812,-1.2737996931463442
22,55,-1.7710709671417912,-0.9423852672286812,-1.2732373924039122
23,55,-1.7758478185575721,-0.9423852672286812,-1.274686775483588
24,55,-1.7932890923789453,165.5904080851944,164.89726090463446
25,55,-1.7930663384403465,-0.9423852672286812,-1.2798712657975493
26,55,-1.7804124194430018,-0.9423852672286812,-1.2760672559268262
27,54,-1.7792666840556097,165.5904080851944,164.89726090463446
28,54,-1.8133224122921368,165.5904080851944,164.89726090463446
29,54,-1.7770081453090505,-0.9960368251777552,-1.312145143090747
30,54,-1.7996538507445514,-0.9960368251777552,-1.3192033113826787
31,54,-1.7999315334873918,-0.9960368251777552,-1.3192891771836557
32,54,-1.7947013610437828,165.5904080851944,164.89726090463446
33,54,-1.779104850121146,-0.9960368251777552,-1.312803266816056
34,54,-1.7932159518811908,-0.9960368251777552,-1.3172079457039736
35,54,-1.7932159518811908,-0.9960368251777552,-1.3172079457039736
36,54,-1.7932159518811908,-0.9960368251777552,-1.3172079457039736
37,54,-1.7999919824802246,-0.9960368251777552,-1.3193078672000669
38,54,-1.7919686347891077,-0.9960368251777552,-1.3168203259212294
39,54,-1.7960215646890094,-0.9960368251777552,-1.3180786086240732
40,54,-1.79779374246708,-0.9960368251777552,-1.3186276989138745
41,53,-1.8042846543453357,165.5904080851944,164.89726090463446
42,53,-1.798767901610643,165.5904080851944,164.89726090463446
