cluster_id,n,n_distinct_fine,fragmentation_rate,modal_uploader,modal_uploader_count,modal_uploader_frac,max_template,sum_template,y_bulk,y_concentrated,y_template,y_heavy_template,y_very_heavy_template,log_e
0,35,4,0.11428571428571428,04061262-0b79-4e9f-bbb6-418cae70b30b,1,0.02857142857142857,1,35,0,0,0,0,0,-2.7128527565426372
1,33,2,0.06060606060606061,0b2757a0-e371-4ff5-ae29-a6883160f9a0,1,0.030303030303030304,1,33,0,0,0,0,0,3.5302814370333304
2,33,5,0.15151515151515152,18f2a4b2-ff4a-40f1-9f59-091c3a1c48ef,2,0.06060606060606061,7539,7967,0,0,1,1,1,-0.03538029916522584
3,32,9,0.28125,0084b5b6-b961-4ddb-b278-31823d1b6d6c,1,0.03125,1,32,0,0,0,0,0,29.14501737554342
4,32,2,0.0625,052ff1b4-a4de-484c-8ce1-f006175588b7,1,0.03125,1,32,0,0,0,0,0,2.9557093766543057
5,32,3,0.09375,8ce5c843-2379-4a3c-ae2a-111b277e030c,2,0.0625,1,32,0,0,0,0,0,-2.2406247052363226
6,32,3,0.09375,037a70c5-ab05-4da6-a86a-9c0741bca77e,1,0.03125,1,32,0,0,0,0,0,-2.2406247052363226
7,32,3,0.09375,05e70c0b-b6c9-4ed1-84e8-9c33baaa91cd,1,0.03125,1,32,0,0,0,0,0,-2.2406247052363226
8,32,4,0.125,048b8f2d-abe3-4ba1-97d2-b23bb9ba23f8,1,0.03125,1,32,0,0,0,0,0,-2.341538778917525
9,32,5,0.15625,0be50228-bb13-45a2-8184-3d2496a01d26,1,0.03125,1,32,0,0,0,0,0,0.5524062471298643
10,32,3,0.09375,5629cef6-422f-4bd4-a69a-8f5834473059,2,0.0625,1,32,0,0,0,0,0,-2.2406247052363226
11,32,5,0.15625,03ab28f4-aece-47ff-ad12-b365b2826347,1,0.03125,1,32,0,0,0,0,0,0.5524062471298643
12,31,3,0.0967741935483871,0a160ee8-0103-446f-9a09-c9abf7143bc2,1,0.03225806451612903,1,31,0,0,0,0,0,-2.4239699551158775
13,31,3,0.0967741935483871,18baa4fd-7c04-4654-883f-b17265210c5b,2,0.06451612903225806,1,31,0,0,0,0,0,-2.4239699551158775
